Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
KiKit_MB_19_1,NPTH,NPTH,18.833335,-118.399995,0.0,top
KiKit_MB_19_2,NPTH,NPTH,17.833335,-118.399995,0.0,top
KiKit_MB_19_3,NPTH,NPTH,16.833335,-118.399995,0.0,top
KiKit_MB_19_4,NPTH,NPTH,15.833335,-118.399995,0.0,top
KiKit_MB_20_1,NPTH,NPTH,29.16667,-118.399995,0.0,top
KiKit_MB_20_2,NPTH,NPTH,28.16667,-118.399995,0.0,top
KiKit_MB_20_3,NPTH,NPTH,27.16667,-118.399995,0.0,top
KiKit_MB_20_4,NPTH,NPTH,26.16667,-118.399995,0.0,top
KiKit_MB_21_1,NPTH,NPTH,42.000007,-20.877777,0.0,top
KiKit_MB_21_2,NPTH,NPTH,42.000007,-19.877777,0.0,top
KiKit_MB_21_3,NPTH,NPTH,42.000008,-18.877777,0.0,top
KiKit_MB_21_4,NPTH,NPTH,42.000008,-17.877777,0.0,top
KiKit_MB_22_1,NPTH,NPTH,42.000006,-33.255554,0.0,top
KiKit_MB_22_2,NPTH,NPTH,42.000006,-32.255554,0.0,top
KiKit_MB_22_3,NPTH,NPTH,42.000006,-31.255554,0.0,top
KiKit_MB_22_4,NPTH,NPTH,42.000006,-30.255554,0.0,top
KiKit_MB_23_1,NPTH,NPTH,42.000005,-45.633332,0.0,top
KiKit_MB_23_2,NPTH,NPTH,42.000005,-44.633332,0.0,top
KiKit_MB_23_3,NPTH,NPTH,42.000005,-43.633332,0.0,top
KiKit_MB_23_4,NPTH,NPTH,42.000005,-42.633332,0.0,top
KiKit_MB_24_1,NPTH,NPTH,42.000004,-58.011109,0.0,top
KiKit_MB_24_2,NPTH,NPTH,42.000004,-57.011109,0.0,top
KiKit_MB_24_3,NPTH,NPTH,42.000004,-56.011109,0.0,top
KiKit_MB_24_4,NPTH,NPTH,42.000004,-55.011109,0.0,top
KiKit_MB_25_1,NPTH,NPTH,42.000003,-70.388886,0.0,top
KiKit_MB_25_2,NPTH,NPTH,42.000003,-69.388886,0.0,top
KiKit_MB_25_3,NPTH,NPTH,42.000003,-68.388886,0.0,top
KiKit_MB_25_4,NPTH,NPTH,42.000003,-67.388886,0.0,top
KiKit_MB_26_1,NPTH,NPTH,42.000002,-82.766663,0.0,top
KiKit_MB_26_2,NPTH,NPTH,42.000002,-81.766663,0.0,top
KiKit_MB_26_3,NPTH,NPTH,42.000002,-80.766663,0.0,top
KiKit_MB_26_4,NPTH,NPTH,42.000002,-79.766663,0.0,top
KiKit_MB_27_1,NPTH,NPTH,42.000001,-95.144441,0.0,top
KiKit_MB_27_2,NPTH,NPTH,42.000001,-94.144441,0.0,top
KiKit_MB_27_3,NPTH,NPTH,42.000001,-93.144441,0.0,top
KiKit_MB_27_4,NPTH,NPTH,42.000001,-92.144441,0.0,top
KiKit_MB_28_1,NPTH,NPTH,41.999999,-107.522218,0.0,top
KiKit_MB_28_2,NPTH,NPTH,41.999999,-106.522218,0.0,top
KiKit_MB_28_3,NPTH,NPTH,42.0,-105.522218,0.0,top
KiKit_MB_28_4,NPTH,NPTH,42.0,-104.522218,0.0,top
KiKit_MB_29_1,NPTH,NPTH,72.999994,-17.877777,0.0,top
KiKit_MB_29_2,NPTH,NPTH,72.999994,-18.877777,0.0,top
KiKit_MB_29_3,NPTH,NPTH,72.999994,-19.877777,0.0,top
KiKit_MB_29_4,NPTH,NPTH,72.999994,-20.877777,0.0,top
KiKit_MB_30_1,NPTH,NPTH,72.999995,-30.255554,0.0,top
KiKit_MB_30_2,NPTH,NPTH,72.999995,-31.255554,0.0,top
KiKit_MB_30_3,NPTH,NPTH,72.999995,-32.255554,0.0,top
KiKit_MB_30_4,NPTH,NPTH,72.999996,-33.255554,0.0,top
KiKit_MB_31_1,NPTH,NPTH,72.999997,-42.633332,0.0,top
KiKit_MB_31_2,NPTH,NPTH,72.999997,-43.633332,0.0,top
KiKit_MB_31_3,NPTH,NPTH,72.999997,-44.633332,0.0,top
KiKit_MB_31_4,NPTH,NPTH,72.999997,-45.633332,0.0,top
KiKit_MB_32_1,NPTH,NPTH,72.999998,-55.011109,0.0,top
KiKit_MB_32_2,NPTH,NPTH,72.999998,-56.011109,0.0,top
KiKit_MB_32_3,NPTH,NPTH,72.999998,-57.011109,0.0,top
KiKit_MB_32_4,NPTH,NPTH,72.999998,-58.011109,0.0,top
KiKit_MB_33_1,NPTH,NPTH,73.0,-67.388886,0.0,top
