Ref,Val,Package,PosX,PosY,Rot,Side
"N99","~","SK6805-EC14",36.192009,-43.873000,0.000000,top
"N99","~","SK6805-EC14",71.192009,-43.873000,0.000000,top
"N100","~","SK6805-EC14",8.808009,-47.296000,0.000000,top
"N100","~","SK6805-EC14",43.808009,-47.296000,0.000000,top
"N101","~","SK6805-EC14",12.231009,-47.296000,0.000000,top
"N101","~","SK6805-EC14",47.231009,-47.296000,0.000000,top
"N102","~","SK6805-EC14",50.654009,-47.296000,0.000000,top
"N102","~","SK6805-EC14",15.654009,-47.296000,0.000000,top
"N103","~","SK6805-EC14",54.077009,-47.296000,0.000000,top
"N103","~","SK6805-EC14",19.077009,-47.296000,0.000000,top
"N104","~","SK6805-EC14",22.500009,-47.296000,0.000000,top
"N104","~","SK6805-EC14",57.500009,-47.296000,0.000000,top
"N105","~","SK6805-EC14",60.923009,-47.296000,0.000000,top
"N105","~","SK6805-EC14",25.923009,-47.296000,0.000000,top
"N106","~","SK6805-EC14",64.346009,-47.296000,0.000000,top
"N106","~","SK6805-EC14",29.346009,-47.296000,0.000000,top
"N107","~","SK6805-EC14",32.769009,-47.296000,0.000000,top
"N107","~","SK6805-EC14",67.769009,-47.296000,0.000000,top
"N108","~","SK6805-EC14",36.192009,-47.296000,0.000000,top
"N108","~","SK6805-EC14",71.192009,-47.296000,0.000000,top
"N109","~","SK6805-EC14",8.808009,-50.719000,0.000000,top
"N109","~","SK6805-EC14",43.808009,-50.719000,0.000000,top
"N110","~","SK6805-EC14",47.231009,-50.719000,0.000000,top
"N110","~","SK6805-EC14",12.231009,-50.719000,0.000000,top
"N111","~","SK6805-EC14",15.654009,-50.719000,0.000000,top
"N111","~","SK6805-EC14",50.654009,-50.719000,0.000000,top
"N112","~","SK6805-EC14",54.077009,-50.719000,0.000000,top
"N112","~","SK6805-EC14",19.077009,-50.719000,0.000000,top
"N113","~","SK6805-EC14",22.500009,-50.719000,0.000000,top
"N113","~","SK6805-EC14",57.500009,-50.719000,0.000000,top
"N114","~","SK6805-EC14",25.923009,-50.719000,0.000000,top
"N114","~","SK6805-EC14",60.923009,-50.719000,0.000000,top
"N115","~","SK6805-EC14",29.346009,-50.719000,0.000000,top
"N115","~","SK6805-EC14",64.346009,-50.719000,0.000000,top
"N116","~","SK6805-EC14",32.769009,-50.719000,0.000000,top
"N116","~","SK6805-EC14",67.769009,-50.719000,0.000000,top
"N117","~","SK6805-EC14",36.192009,-50.719000,0.000000,top
"N117","~","SK6805-EC14",71.192009,-50.719000,0.000000,top
"N118","~","SK6805-EC14",43.808009,-54.142000,0.000000,top
"N118","~","SK6805-EC14",8.808009,-54.142000,0.000000,top
"N119","~","SK6805-EC14",47.231009,-54.142000,0.000000,top
"N119","~","SK6805-EC14",12.231009,-54.142000,0.000000,top
"N120","~","SK6805-EC14",15.654009,-54.142000,0.000000,top
"N120","~","SK6805-EC14",50.654009,-54.142000,0.000000,top
"N121","~","SK6805-EC14",54.077009,-54.142000,0.000000,top
"N121","~","SK6805-EC14",19.077009,-54.142000,0.000000,top
"N122","~","SK6805-EC14",57.500009,-54.142000,0.000000,top
"N122","~","SK6805-EC14",22.500009,-54.142000,0.000000,top
"N123","~","SK6805-EC14",60.923009,-54.142000,0.000000,top
"N123","~","SK6805-EC14",25.923009,-54.142000,0.000000,top
"N124","~","SK6805-EC14",64.346009,-54.142000,0.000000,top
"N124","~","SK6805-EC14",29.346009,-54.142000,0.000000,top
"N125","~","SK6805-EC14",67.769009,-54.142000,0.000000,top
"N125","~","SK6805-EC14",32.769009,-54.142000,0.000000,top
"N126","~","SK6805-EC14",36.192009,-54.142000,0.000000,top
"N126","~","SK6805-EC14",71.192009,-54.142000,0.000000,top
"N127","~","SK6805-EC14",43.808009,-57.565000,0.000000,top
"N127","~","SK6805-EC14",8.808009,-57.565000,0.000000,top
"N128","~","SK6805-EC14",47.231009,-57.565000,0.000000,top
"N128","~","SK6805-EC14",12.231009,-57.565000,0.000000,top
"N129","~","SK6805-EC14",15.654009,-57.565000,0.000000,top
"N129","~","SK6805-EC14",50.654009,-57.565000,0.000000,top
"N130","~","SK6805-EC14",19.077009,-57.565000,0.000000,top
"N130","~","SK6805-EC14",54.077009,-57.565000,0.000000,top
"N131","~","SK6805-EC14",57.500009,-57.565000,0.000000,top
"N131","~","SK6805-EC14",22.500009,-57.565000,0.000000,top
"N132","~","SK6805-EC14",60.923009,-57.565000,0.000000,top
"N132","~","SK6805-EC14",25.923009,-57.565000,0.000000,top
"N133","~","SK6805-EC14",29.346009,-57.565000,0.000000,top
"N133","~","SK6805-EC14",64.346009,-57.565000,0.000000,top
"N134","~","SK6805-EC14",32.769009,-57.565000,0.000000,top
"N134","~","SK6805-EC14",67.769009,-57.565000,0.000000,top
"N135","~","SK6805-EC14",36.192009,-57.565000,0.000000,top
"N135","~","SK6805-EC14",71.192009,-57.565000,0.000000,top
"N136","~","SK6805-EC14",8.808009,-60.988000,0.000000,top
"N136","~","SK6805-EC14",43.808009,-60.988000,0.000000,top
"N137","~","SK6805-EC14",47.231009,-60.988000,0.000000,top
"N137","~","SK6805-EC14",12.231009,-60.988000,0.000000,top
"N138","~","SK6805-EC14",50.654009,-60.988000,0.000000,top
"N138","~","SK6805-EC14",15.654009,-60.988000,0.000000,top
"N139","~","SK6805-EC14",54.077009,-60.988000,0.000000,top
"N139","~","SK6805-EC14",19.077009,-60.988000,0.000000,top
"N140","~","SK6805-EC14",57.500009,-60.988000,0.000000,top
"N140","~","SK6805-EC14",22.500009,-60.988000,0.000000,top
"N141","~","SK6805-EC14",60.923009,-60.988000,0.000000,top
"N141","~","SK6805-EC14",25.923009,-60.988000,0.000000,top
"N142","~","SK6805-EC14",29.346009,-60.988000,0.000000,top
"N142","~","SK6805-EC14",64.346009,-60.988000,0.000000,top
"N143","~","SK6805-EC14",32.769009,-60.988000,0.000000,top
"N143","~","SK6805-EC14",67.769009,-60.988000,0.000000,top
"N144","~","SK6805-EC14",71.192009,-60.988000,0.000000,top
"N144","~","SK6805-EC14",36.192009,-60.988000,0.000000,top
"N145","~","SK6805-EC14",8.808009,-64.411000,0.000000,top
"N145","~","SK6805-EC14",43.808009,-64.411000,0.000000,top
"N146","~","SK6805-EC14",47.231009,-64.411000,0.000000,top
"N146","~","SK6805-EC14",12.231009,-64.411000,0.000000,top
"N147","~","SK6805-EC14",50.654009,-64.411000,0.000000,top
"N147","~","SK6805-EC14",15.654009,-64.411000,0.000000,top
"N148","~","SK6805-EC14",54.077009,-64.411000,0.000000,top
"N148","~","SK6805-EC14",19.077009,-64.411000,0.000000,top
"N149","~","SK6805-EC14",57.500009,-64.411000,0.000000,top
"N149","~","SK6805-EC14",22.500009,-64.411000,0.000000,top
"N150","~","SK6805-EC14",25.923009,-64.411000,0.000000,top
"N150","~","SK6805-EC14",60.923009,-64.411000,0.000000,top
"N151","~","SK6805-EC14",64.346009,-64.411000,0.000000,top
"N151","~","SK6805-EC14",29.346009,-64.411000,0.000000,top
"N152","~","SK6805-EC14",32.769009,-64.411000,0.000000,top
"N152","~","SK6805-EC14",67.769009,-64.411000,0.000000,top
"N153","~","SK6805-EC14",71.192009,-64.411000,0.000000,top
"N153","~","SK6805-EC14",36.192009,-64.411000,0.000000,top
"N154","~","SK6805-EC14",43.808009,-67.834000,0.000000,top
"N154","~","SK6805-EC14",8.808009,-67.834000,0.000000,top
"N155","~","SK6805-EC14",47.231009,-67.834000,0.000000,top
"N155","~","SK6805-EC14",12.231009,-67.834000,0.000000,top
"N156","~","SK6805-EC14",15.654009,-67.834000,0.000000,top
"N156","~","SK6805-EC14",50.654009,-67.834000,0.000000,top
"N157","~","SK6805-EC14",54.077009,-67.834000,0.000000,top
"N157","~","SK6805-EC14",19.077009,-67.834000,0.000000,top
"N158","~","SK6805-EC14",22.500009,-67.834000,0.000000,top
"N158","~","SK6805-EC14",57.500009,-67.834000,0.000000,top
"N159","~","SK6805-EC14",25.923009,-67.834000,0.000000,top
"N159","~","SK6805-EC14",60.923009,-67.834000,0.000000,top
"N160","~","SK6805-EC14",29.346009,-67.834000,0.000000,top
"N160","~","SK6805-EC14",64.346009,-67.834000,0.000000,top
"N161","~","SK6805-EC14",32.769009,-67.834000,0.000000,top
"N161","~","SK6805-EC14",67.769009,-67.834000,0.000000,top
"N162","~","SK6805-EC14",36.192009,-67.834000,0.000000,top
"N162","~","SK6805-EC14",71.192009,-67.834000,0.000000,top
"N163","~","SK6805-EC14",43.808009,-71.257000,0.000000,top
"N163","~","SK6805-EC14",8.808009,-71.257000,0.000000,top
"N164","~","SK6805-EC14",47.231009,-71.257000,0.000000,top
"N164","~","SK6805-EC14",12.231009,-71.257000,0.000000,top
"N165","~","SK6805-EC14",50.654009,-71.257000,0.000000,top
"N165","~","SK6805-EC14",15.654009,-71.257000,0.000000,top
"N166","~","SK6805-EC14",54.077009,-71.257000,0.000000,top
"N166","~","SK6805-EC14",19.077009,-71.257000,0.000000,top
"N167","~","SK6805-EC14",22.500009,-71.257000,0.000000,top
"N167","~","SK6805-EC14",57.500009,-71.257000,0.000000,top
"N168","~","SK6805-EC14",25.923009,-71.257000,0.000000,top
"N168","~","SK6805-EC14",60.923009,-71.257000,0.000000,top
